target,track,fold,k_star,features
snap_adhd_total,reg,7,1,frac_act_short_w10_p20
snap_adhd_total,reg,8,1,frac_act_short_w10_p20
snap_adhd_total,reg,9,1,frac_act_short_w10_p20
snap_adhd_total,reg,10,1,frac_act_short_w10_p20
snap_adhd_total,reg,11,1,frac_act_short_w10_p20
snap_adhd_total,reg,12,2,stl_bout_median_w1_p20;frac_act_short_w10_p20
snap_adhd_total,reg,13,1,frac_act_short_w10_p20
snap_adhd_total,reg,14,1,frac_act_short_w10_p20
snap_adhd_total,reg,15,1,frac_act_short_w10_p20
snap_adhd_total,reg,16,1,frac_act_short_w10_p20
snap_adhd_total,reg,17,1,frac_act_short_w10_p20
snap_adhd_total,reg,18,1,frac_act_short_w10_p20
snap_adhd_total,reg,19,1,frac_act_short_w10_p20
snap_adhd_total,reg,20,1,frac_act_short_w10_p20
snap_adhd_total,reg,21,1,frac_act_short_w10_p20
snap_adhd_total,reg,22,1,frac_act_short_w10_p20
snap_adhd_total,reg,23,1,frac_act_short_w10_p20
sdq_hyper,reg,0,1,uaZ_skew
sdq_hyper,reg,1,1,uaZ_skew
sdq_hyper,reg,2,2,uaZ_skew;uaZ_centroid
sdq_hyper,reg,3,1,uaZ_skew
sdq_hyper,reg,4,1,uaZ_skew
sdq_hyper,reg,5,3,uaZ_skew;uaZ_centroid;frac_act_short_w10_p20
sdq_hyper,reg,6,4,uaZ_skew;uaZ_centroid;uaMag_spread;uaMag_bp_mf
sdq_hyper,reg,7,4,uaZ_skew;uaZ_centroid;uaMag_spread;uaMag_bp_mf
sdq_hyper,reg,8,1,frac_act_short_w10_p20
sdq_hyper,reg,9,1,uaZ_skew
sdq_hyper,reg,10,7,uaX_std;uaY_domfreq;uaZ_skew;uaZ_centroid;uaMag_spread;uaMag_bp_mf;frac_act_short_w10_p20
sdq_hyper,reg,11,1,uaZ_skew
sdq_hyper,reg,12,2,uaZ_skew;uaMag_bp_mf
sdq_hyper,reg,13,1,uaZ_skew
sdq_hyper,reg,14,1,uaZ_skew
sdq_hyper,reg,15,3,uaZ_skew;uaZ_centroid;uaMag_bp_mf
sdq_hyper,reg,16,4,uaZ_skew;uaZ_centroid;uaMag_spread;uaMag_bp_mf
sdq_hyper,reg,17,3,uaZ_skew;uaMag_spread;uaMag_bp_mf
sdq_hyper,reg,18,6,uaY_domfreq;uaZ_skew;uaZ_centroid;frac_act_short_w10_p20;act_bout_median_w10_p30;act_bout_cv_w10_p90
sdq_hyper,reg,19,14,uaY_domfreq;uaZ_skew;uaZ_centroid;uaZ_entropy;uaZ_bp_mf;uaZ_bp_hf;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;jerk_acf_dom_period_s;act_bout_median_w0.5_p90;act_bout_cv_w1_p10;act_bout_cv_w2_p10;stl_bout_median_w10_p20
sdq_hyper,reg,20,3,uaZ_skew;uaZ_centroid;act_bout_median_w10_p30
sdq_hyper,reg,21,1,uaZ_skew
sdq_hyper,reg,22,1,uaZ_skew
sdq_hyper,reg,23,1,uaZ_skew
sdq_emo,reg,0,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,1,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,2,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,3,3,act_bout_median_w0.5_p80;act_bout_median_w1_p80;switch_per_min_w10_p10
sdq_emo,reg,4,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,5,1,act_bout_median_w0.5_p80
sdq_emo,reg,6,1,act_bout_median_w0.5_p80
sdq_emo,reg,7,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,8,3,act_bout_median_w0.5_p80;act_bout_median_w1_p80;switch_per_min_w10_p10
sdq_emo,reg,9,1,act_bout_median_w0.5_p80
sdq_emo,reg,10,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,11,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,12,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,13,1,act_bout_median_w0.5_p80
sdq_emo,reg,14,3,act_bout_median_w0.5_p80;act_bout_median_w1_p80;switch_per_min_w10_p10
sdq_emo,reg,15,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,16,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,17,3,act_bout_median_w0.5_p80;act_bout_median_w1_p80;switch_per_min_w10_p10
sdq_emo,reg,18,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,19,1,act_bout_median_w0.5_p80
sdq_emo,reg,20,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,21,1,act_bout_median_w0.5_p80
sdq_emo,reg,22,2,act_bout_median_w0.5_p80;act_bout_median_w1_p80
sdq_emo,reg,23,1,act_bout_median_w0.5_p80
sdq_cond,reg,0,6,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,1,6,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,2,5,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;stl_bout_cv_w10_p70
sdq_cond,reg,3,1,uaY_max
sdq_cond,reg,4,5,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
