target,type,feature,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
sdq_pro,cont,switchmin_p70,-0.15911235389538178,0.45294999999999996,-0.0239277008207488,2.367178971543892,2.065383948942621,0.024823834533871977,0.9159424999999999
sdq_pro,cont,actbout_med_p70,-0.16673094478535033,0.43284,-0.06722423650169729,2.4167086010768326,2.169514270710007,-0.11253319719543112,0.9159424999999999
sdq_pro,cont,actbout_cv_p70,0.33535294985315595,0.10921999999999998,0.053824615856296165,2.2755284548349968,2.0152761858948787,0.25677975964339195,0.9159424999999999
sdq_pro,cont,actshort_p70,-0.18255100092812926,0.38848000000000005,-0.06262760463134964,2.4114984930261136,2.0921592278760253,-0.24633360329831083,0.9159424999999999
sdq_pro,cont,actfrac_p80,-0.02253716060841102,0.91627,-0.05943949030626294,2.407878265186142,2.1418501974661246,0.3342639695940357,0.9896124324324324
sdq_pro,cont,switchmin_p80,-0.24430282099517545,0.24763999999999997,-0.049675173658097815,2.396756483320871,2.1200217207628014,-0.06112659171553087,0.9159424999999999
sdq_pro,cont,actbout_med_p80,0.037427963176583964,0.8608899999999999,-0.077647223554838,2.4284812527727153,2.141653081566767,0.0572200823879301,0.9765319402985074
sdq_pro,cont,actbout_cv_p80,0.361946799371081,0.08226,0.0717357710987534,2.2538876066520857,1.978642478879916,0.29020497455666455,0.9159424999999999
sdq_pro,cont,actshort_p80,-0.25917734699672673,0.21984000000000004,0.043619603421071185,2.2877669452207345,1.9375637599183915,-0.2470386729131938,0.9159424999999999
sdq_pro,cont,actfrac_p90,0.13837816613564366,0.51539,-0.06265431198572058,2.41152879731139,2.126010785903311,0.32733965897906864,0.9159424999999999
sdq_pro,cont,switchmin_p90,0.06085033364270975,0.7748200000000001,-0.0668778457448016,2.4163163716695895,2.142765584103771,0.3586325220609466,0.9516981010101011
sdq_pro,cont,actbout_med_p90,0.07620874429930952,0.7194,-0.057809341536863235,2.406025063136473,2.1252815222927244,0.014244315477244706,0.949568
sdq_pro,cont,actbout_cv_p90,0.37276463646311825,0.07352000000000003,0.09003573224797223,2.2315602530157115,1.906458075076291,0.33824189271356137,0.9159424999999999
sdq_pro,cont,actshort_p90,-0.2869222891533969,0.17325999999999997,0.07852310872959911,2.2456324340341256,1.8775482016975014,-0.23529262863490377,0.9159424999999999
sdq_totdiff,cont,uaX_mean,-0.10642736127332707,0.61754,-0.030399320554927778,3.3678158835236895,2.6889569130143367,,0.9752624000000002
sdq_totdiff,cont,uaX_std,-0.28146079014433606,0.18278000000000005,0.013859846136303644,3.2946924482908524,2.6717151536108155,,0.9752624000000002
sdq_totdiff,cont,uaX_var,-0.28146079014433606,0.18278000000000005,0.010334142704173432,3.300576877753559,2.6949984184965654,,0.9752624000000002
sdq_totdiff,cont,uaX_rms,-0.25683297100670666,0.22526000000000002,0.011944780479491102,3.2978900120679278,2.6725312983263976,,0.9752624000000002
sdq_totdiff,cont,uaX_min,0.31708317139697856,0.13163999999999998,-0.4073221604268711,3.9358842897232273,3.0475862495575416,,0.9752624000000002
sdq_totdiff,cont,uaX_max,-0.078721064743494,0.71116,-0.0898715136935615,3.463643694877064,2.7631963515480003,,0.9804654875283447
sdq_totdiff,cont,uaX_range,-0.19922146552403786,0.34787999999999997,0.0018446239139919829,3.314703097656281,2.767863624323003,,0.9752624000000002
sdq_totdiff,cont,uaX_median,-0.19218494577042947,0.3658,-0.03167454844100015,3.3698992528881555,2.70040619247494,,0.9752624000000002
sdq_totdiff,cont,uaX_iqr,-0.16183995433299322,0.44838999999999996,-0.06595868424886242,3.4254351118981123,2.656951352696129,,0.9752624000000002
sdq_totdiff,cont,uaX_mad,-0.17107538650960424,0.42203,-0.06271766544992663,3.4202236757670885,2.659305293373167,,0.9752624000000002
sdq_totdiff,cont,uaX_skew,0.1015897539427213,0.633,-0.04037955638948976,3.384086565739103,2.7742368443491885,,0.9752624000000002
sdq_totdiff,cont,uaX_kurt,-0.03826107616024568,0.85689,-0.04941442263358198,3.3987488476893732,2.6972805269184685,,0.985218064516129
sdq_totdiff,cont,uaX_zcr,-0.15216473967178168,0.47634,-0.05321844082511262,3.404903331024148,2.7111095465516146,,0.9752624000000002
sdq_totdiff,cont,uaX_madiff,-0.37777315427185104,0.06994,0.042639689478719434,3.246259760877941,2.6498803870663825,,0.9752624000000002
sdq_totdiff,cont,uaX_domfreq,-0.26700601924990014,0.20740000000000003,0.006608521891973029,3.3067835922451105,2.7398987335996097,,0.9752624000000002
sdq_totdiff,cont,uaX_centroid,-0.012313909568814702,0.95273,-0.029566036924162375,3.3664538322327586,2.6849714578272343,,0.985218064516129
sdq_totdiff,cont,uaX_spread,0.08355867207409977,0.69465,-0.041583130721909,3.3860434584960046,2.6722567474480083,,0.9803723636363636
sdq_totdiff,cont,uaX_entropy,0.06464802523627719,0.76119,-0.03570351190379162,3.3764730174338635,2.7104176273856933,,0.985218064516129
sdq_totdiff,cont,uaX_bp_lf,-0.015392386961018377,0.94165,-0.03880413248189596,3.381523371051017,2.686277384589173,,0.985218064516129
