target,d,f1,acc,bacc
sdq_peer__qbin,18,0.6210526315789473,0.75,0.611111111111111
sdq_peer__qbin,19,0.5213675213675213,0.7083333333333334,0.5277777777777778
sdq_peer__qbin,20,0.49473684210526314,0.6666666666666666,0.5
sdq_pro__qbin,1,0.39495798319327735,0.5,0.42222222222222217
sdq_pro__qbin,2,0.5901328273244781,0.625,0.5888888888888888
sdq_pro__qbin,3,0.5901328273244781,0.625,0.5888888888888888
sdq_pro__qbin,4,0.4957983193277311,0.5833333333333334,0.5111111111111111
sdq_pro__qbin,5,0.39495798319327735,0.5,0.42222222222222217
sdq_pro__qbin,6,0.39495798319327735,0.5,0.42222222222222217
sdq_pro__qbin,7,0.34375,0.4166666666666667,0.3555555555555555
sdq_pro__qbin,8,0.34375,0.4166666666666667,0.3555555555555555
sdq_pro__qbin,9,0.31688804554079697,0.375,0.3222222222222222
sdq_pro__qbin,10,0.34375,0.4166666666666667,0.3555555555555555
sdq_pro__qbin,11,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_pro__qbin,12,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_pro__qbin,13,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_pro__qbin,14,0.34375,0.4166666666666667,0.3555555555555555
sdq_pro__qbin,15,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_pro__qbin,16,0.4375,0.5,0.4444444444444444
sdq_pro__qbin,17,0.4375,0.5,0.4444444444444444
sdq_pro__qbin,18,0.4375,0.5,0.4444444444444444
sdq_pro__qbin,19,0.4375,0.5,0.4444444444444444
sdq_pro__qbin,20,0.4375,0.5,0.4444444444444444
sdq_totdiff__qbin,1,0.6974789915966386,0.75,0.6888888888888889
sdq_totdiff__qbin,2,0.5636363636363637,0.625,0.5666666666666667
sdq_totdiff__qbin,3,0.4990512333965844,0.5416666666666666,0.5
sdq_totdiff__qbin,4,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_totdiff__qbin,5,0.4337568058076225,0.4583333333333333,0.43333333333333335
sdq_totdiff__qbin,6,0.4337568058076225,0.4583333333333333,0.43333333333333335
sdq_totdiff__qbin,7,0.5208711433756805,0.5416666666666666,0.5222222222222221
